"Brand","Model","Status","SourceTitle","SourceUrl","LocalImage"
"BMW","X5","found_remote","BMW X5 SUV side view","https://www.carsized.com/resources/bmw/x5/d/2013/sm_291116149_bmw-x5-2013-side-view_4x.png",""
"BYD","ATTO3","found_remote","BYD Atto 3 car side view","https://www.byd.com/content/dam/byd-site/en-ae/product/atto3/6(1).jpg",""
"BYD","SEAL","found_remote","BYD SEAL car side view","https://www.byd.com/content/dam/byd-site/eu/product/seal/pc/section03.jpg",""
"CHRYSLER_DODGE_JEEP","CRUISER06","found_remote","Chrysler PT Cruiser car side view","https://www.autodata1.com/media/chrysler/pics/chrysler-pt-cruiser-[1375].jpg",""
"CHRYSLER_DODGE_JEEP","PACIFICA","found_remote","Chrysler PACIFICA car side view","https://www.leie-autos.be/media/interieur/pics/36/08-chrysler_pacifica.jpg",""
"CHRYSLER_DODGE_JEEP","RENEGADE","found_remote","Jeep RENEGADE car side view","https://mobiwisy.fr/wp-content/uploads/JeepRenegadeMY24.jpg",""
"CITROEN","C3","found_remote","CITROEN C 3 car side view","https://imgd.aeplcdn.com/1056x594/n/cw/ec/138657/citroen-c3-right-side-view17.jpeg?isig=0&wm=1&q=75",""
"FIAT","BRAVO","found_remote","Fiat BRAVO car side view","https://www.wandaloo.com/files/2011/01/FIAT-Bravo-2011-15.jpg",""
"FIAT","C1","not_found","","",""
"FIAT","C3","not_found","","",""
"FIAT","C9","not_found","","",""
"FIAT","TIPO","found_remote","FIAT TIPO car side view","https://www.parkinglac.com/wp-content/uploads/2024/03/430609321_381404784641411_7227729287721869057_n.jpg",""
"FIAT","TYPE","found_remote","Fiat Tipo car side view","https://www.parkinglac.com/wp-content/uploads/2024/03/430609321_381404784641411_7227729287721869057_n.jpg",""
"FORD","BRONCO","found_remote","Ford BRONCO car side view","https://www.fr.ford.be/content/dam/guxeu/rhd/central/cars/2022-bronco-suv/pre-launch/gallery/exterior/Ford-bronco-eu-DSC02856-16x9-2160x1215.jpg.renditions.original.png",""
"FORD","ESCAPE","found_remote","Ford ESCAPE car side view","https://s.car.info/image_files/1920/ford-escape-front-side-north-american-international-auto-show-2018-3-469448.jpg",""
"FORD","MONDEO","found_remote","Ford Mondeo side view","https://www.carsized.com/resources/ford/mondeo/sw/2000/sl_255129164_ford-mondeo-2000-side-view_4x.png",""
"GM_CHEVY_GMC_CADILLAC","ACADIA","found_remote","GMC ACADIA car side view","http://1.bp.blogspot.com/-VLaw_xLYCqs/Tx262eUh62I/AAAAAAAANR4/l0ZR1BQFseE/s1600/2013+GMC+acadia+side.jpg",""
"GM_CHEVY_GMC_CADILLAC","ENCORE","found_remote","Buick ENCORE car side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb25b4453081e3d8e88cb/stills_0640_png/MY2017/11523/11523_st0640_051.png",""
"GM_CHEVY_GMC_CADILLAC","ENVISTA","found_remote","Buick ENVISTA car side view","https://www.buick.ca/content/dam/buick/na/ca/en/index/crossovers-suv/2025-envista-overview/2025-envista-avenir-ocean-blue-metallic-2000x1000.png?imwidth=1200",""
"GM_CHEVY_GMC_CADILLAC","LACROSS","found_remote","Buick LaCrosse car side view","https://www.carsized.com/resources/buick/lacrosse/d/2017/sl_245123163_buick-lacrosse-2017-side-view_3x.png",""
"GM_CHEVY_GMC_CADILLAC","MALIBU","found_remote","Chevrolet MALIBU car side view","https://static1.topspeedimages.com/wordpress/wp-content/uploads/2023/09/2023-chevrolet-malibu-ls.jpg",""
"GM_CHEVY_GMC_CADILLAC","TERRAIN","found_remote","GMC TERRAIN car side view","https://www.carsized.com/resources/gmc/terrain/d/2016/fa_289000000_gmc-terrain-2016-front-view_3x.png",""
"GM_CHEVY_GMC_CADILLAC","TRAIL_BLAZER","found_remote","Chevrolet Trailblazer car side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb65b41530b1e3d8e88cb10/stills_0640_png/MY2023/51020/51020_st0640_115.png",""
"GM_CHEVY_GMC_CADILLAC","XT5","found_remote","Cadillac XT 5 car side view","https://i0.wp.com/www.photoscar.fr/wp-content/uploads/2019/07/Cadillac-XT5-2020-07.jpg?ssl=1",""
"GM_CHEVY_GMC_CADILLAC","XT6","found_remote","Cadillac XT 6 car side view","https://dbhdyzvm8lm25.cloudfront.net/stills_0640_png/MY2020/13749/13749_st0640_052.png",""
"HONDA","ACCORD","found_remote","Honda ACCORD car side view","https://s.car.info/image_files/960/honda-accord-sedan-back-side-1-1157366.jpg",""
"HONDA","CIVIC","found_remote","Honda CIVIC car side view","https://imgd-ct.aeplcdn.com/1056x660/n/cw/ec/27074/civic-exterior-right-side-view.jpeg?q=80",""
"HONDA","CRV","found_remote","Honda CR-V car side view","https://www.carsized.com/resources/honda/cr-v/d/2017/sm_279124140_honda-cr-v-2017-side-view_4x.png",""
"HONDA","HRV","found_remote","Honda HR-V car side view","https://auto.honda.fr/content/dam/central/cars/hr-v-hybrid/mmc-2025/overview/DiscoverMore/HR-V-Overview-Discover-more-1728x972.jpg/_jcr_content/renditions/c3.jpg",""
"HONDA","PILOT","found_remote","Honda PILOT car side view","https://www.honda.ca/-/media/Brands/Honda/Models/PILOT/2023/Overview/08_Gallery/Exterior/Honda_Pilot_exteriorgallery_PIL23-009_Sport_LSM.png?h=500&iar=0&w=1248&rev=7bad36739557412cafd1ee6d8cc4820c&hash=A11278265A5AC7D854359DEB313840DA",""
"HONDA","RDX","found_remote","Acura RDX car side view","https://www.acura.ca/-/media/Brands/Acura/Models/RDX/2025/02-Overview/3-Performance/MY25_RDX_1440x554_Desktop_OverviewPerformanceFullWidthCard_01_v2.png?h=726&iar=0&w=1440&rev=885db5b348e040f5a411bb8545d432b2&hash=823155012ED0DBC93363A8E0CF164F88",""
"HYUNDAI","CARNIVAL","found_remote","Kia CARNIVAL car side view","https://montreal.communauto.com/wp-content/uploads/sites/2/2023/05/Untitled-design-6.png",""
"HYUNDAI","ELANTRA","found_remote","Hyundai ELANTRA car side view","https://imgd-ct.aeplcdn.com/1056x660/n/cw/ec/41138/elantra-exterior-rear-door.jpeg?q=80",""
"HYUNDAI","G90","found_remote","Genesis G90 side view","https://www.genesis.com/content/dam/genesis-p2/ca/admin/model-information/g90/list-thumbnail/2022-08-19/21-56-15/genesis-g90-model-thumbnail-small-3.png",""
"HYUNDAI","GV80","found_remote","Genesis GV80 SUV side view","https://www.carsized.com/resources/genesis/gv80/d/2021/ra_313000000_genesis-gv80-2021-rear-view_4x.png",""
"HYUNDAI","SANTA_FE","found_remote","Hyundai Santa Fe car side view","https://s.car.info/image_files/360/hyundai-santa-fe-back-side-2-503146.jpg",""
"HYUNDAI","SONATA","found_remote","Hyundai SONATA car side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb65b47570f1e3d8e88cb10/stills_0640_png/MY2023/51664/51664_st0640_037.png",""
"HYUNDAI","SORENTO","found_remote","Kia SORENTO car side view","https://www.carsized.com/resources/kia/sorento/d/2020/sl_287125150_kia-sorento-2020-side-view_4x.png",""
"HYUNDAI","SPORTAGE","found_remote","Kia SPORTAGE car side view","https://www.carsized.com/resources/kia/sportage/lwb/2021/sm_286122143_kia-sportage-2021-side-view_4x.png",""
"LDV_AUTOMOTIVE","T80","not_found","","",""
"MAZDA","CX50","found_remote","MAZDA CX-50 car side view","https://cdn.motor1.com/images/mgl/1mmA9/s1/mazda-cx-50.jpg",""
"MAZDA","RX8","found_remote","MAZDA RX-8 car side view","https://up.autotitre.com/e80616ee29.jpg",""
"MERCEDES","GLE350","found_remote","Mercedes-Benz GLE 350 car side view","https://easycarparis.fr/wp-content/uploads/2021/06/F1305FD3-5EEE-4628-951C-A661CBEF5606.jpeg",""
"NISSAN","FRONTIER","found_remote","Nissan FRONTIER car side view","https://rpmweb.ca/imager/medias/9977707/2025-Nissan-Frontier-18_ad02c10575d688bd3d9347fa060773a3.jpg",""
"NISSAN","ROGUE","found_remote","Nissan ROGUE car side view","https://i.gaw.to/content/photos/26/80/268054_2017_Nissan_Rogue.jpg",""
"NISSAN","SKYLINE","found_remote","NISSAN SKYLINE car side view","https://images.pexels.com/photos/18818884/pexels-photo-18818884.jpeg?cs=srgb&dl=pexels-wavyvisuals-377312923-18818884.jpg&fm=jpg",""
"NISSAN","VERSA","found_remote","Nissan Versa sedan side view","https://images.caricos.com/n/nissan/2015_nissan_versa_sedan/images/1920x1080/2015_nissan_versa_sedan_8_1920x1080.jpg",""
"OPEL","VECTRA","found_remote","Opel VECTRA car side view","https://360view.3dmodels.org/zoom/Opel/Opel_Vectra_Mk2_B_sedan_1995_1000_0001.jpg",""
"PEUGEOT","208","found_remote","PEUGEOT 208 car side view","https://www.carsized.com/resources/peugeot/208/d/2019/sl_242109090_peugeot-208-2019-side-view_3x.png",""
"PEUGEOT","307","found_remote","PEUGEOT 307 car side view","https://www.autodata1.com/media/peugeot/pics/peugeot-307-[8098].jpg",""
"PEUGEOT","PARTNER","found_remote","Peugeot Partner van side view","https://res.cloudinary.com/total-dealer/image/upload/w_3840,f_auto,q_75/v1644660263/production/quk781z1du4yene6j0vqwx3ax8u1",""
"RENAULT","CAPTUR","found_remote","Renault CAPTUR car side view","https://cdn-datak.motork.net/configurator-imgs/cars/fr/original/RENAULT/CAPTUR/44260_SUV-VP-5-PORTES/renault-captur-back-view.jpg",""
"SKODA","FABIA","found_remote","Skoda FABIA car side view","https://www.carsized.com/resources/skoda/fabia/sw/2004/sm_252112131_skoda-fabia-2004-side-view_4x.png",""
"SUBARU","FORESTER","found_remote","SUBARU FORESTER car side view","https://www.subaru.be/media/qcjh3jei/be-my22-forester-9.jpg?width=1920",""
"SUBARU","IMPREZA","found_remote","Subaru IMPREZA car side view","https://images.carexpert.com.au/resize/3000/-/app/uploads/2024/03/2024-Subaru-Impreza-2.0S-AWD-review-38.jpg",""
"SUBARU","OUTBACK","found_remote","Subaru Outback wagon side view","https://d2ivfcfbdvj3sm.cloudfront.net/7fc965ab77efe6e0fa62e4ca1ea7673bb25a44530b1e3d8e88cb/stills_0640_png/MY2016/10520/10520_st0640_037.png",""
"TOYOTA","CAMRY","found_remote","Toyota CAMRY car side view","https://s.car.info/image_files/960/back-side-1-1152661.jpg",""
"TOYOTA","COROLLA","found_remote","Toyota COROLLA car side view","https://www.ddongauto.com/wp-content/uploads/2023/08/Toyota-Corolla-Side.jpg",""
"TOYOTA","ESTIMA","found_remote","Toyota Estima car side view","https://s.car.info/image_files/1920/front-side-1-1200315.jpg",""
"TOYOTA","IS","found_remote","Lexus IS sedan side view","https://lexus-hn.com/wp-content/uploads/2023/04/lexus-is-teaser-gallery-d-8.jpg",""
"TOYOTA","IS300","found_remote","Lexus IS 300 car side view","https://akagi-import.fr/wp-content/uploads/couverture-lexus-is300-1.jpg",""
"TOYOTA","NX200T","found_remote","Lexus NX 200t side view","https://parkingcentral.net/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-10-at-10.22.30-1.jpeg",""
"TOYOTA","PRIUS","found_remote","Toyota PRIUS car side view","https://s.car.info/image_files/1920/toyota-prius-side-1-779821.jpg",""
"TOYOTA","RAV4","found_remote","Toyota RAV4 car side view","https://www.carsized.com/resources/toyota/rav4/swb/2019/sl_281126145_toyota-rav4-2019-side-view_4x.png",""
"TOYOTA","TACOMA","found_remote","Toyota TACOMA car side view","https://cars.usnews.com/static/images/Auto/izmo/i960917/2016_toyota_tacoma_doors.jpg",""
"VOLKSWAGEN","ATLAS","found_remote","Volkswagen ATLAS car side view","https://rpmweb.ca/imager/medias/6351012/Volkswagen-Atlas-2024-12_550ccdc016b66ec25cd6ec310268ae53.jpg",""
"VOLKSWAGEN","GOLF","found_remote","Volkswagen Golf hatchback side view","https://www.boot-buddy.com/wp-content/uploads/2022/06/VW-Golf-HB.jpg",""
"VOLKSWAGEN","PASSAT","found_remote","Volkswagen PASSAT car side view","https://assets.volkswagen.com/is/image/volkswagenag/PA4753_passat-gallery_f-cc-2_4-3?Zml0PWNyb3AsMSZmbXQ9anBnJnFsdD03OSZ3aWQ9ODAwJmhlaT02MDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmYjAyMw==",""
"VOLKSWAGEN","POLO","found_remote","Volkswagen POLO car side view","https://www.autocar.co.uk/sites/autocar.co.uk/files/volkswagen_polo_review_-_side_driving.jpg",""
"VOLVO","S40","found_remote","Volvo S40 sedan side view","https://www.carsized.com/en/cars/volvo-s40-1995-sedan.jpg",""
